1.29125,45.22916666666667,6.7,-,-,-,-,3
1.2658333333333334,-0.5030555555555556,6.29,-,-,-,-,6
1.3337499999999998,-5.7075000000000005,4.61,-,-,-,33-Psc,28
1.425,13.39611111111111,5.51,-,-,-,86-Peg,87
1.5666666666666669,58.43666666666666,5.96,-,-,-,-,123
1.579166666666667,-49.075,5.7,-,-,-,-,142
1.6104166666666668,64.19611111111111,5.59,-,-,-,10-Cas,144
1.6533333333333333,29.02138888888889,6.13,-,-,-,-,166
1.70875,-23.1075,6.18,-,-,-,-,203
1.8258333333333334,-17.386388888888888,6.19,-,-,-,-,256
1.93375,-2.548888888888889,6.43,-,-,-,-,315
1.945,-22.50888888888889,5.94,-,-,-,-,319
2.0145833333333334,-33.529444444444444,5.68,-,-,-,-,344
2.0504166666666666,-2.447777777777778,6.07,-,-,-,-,352
